Age Groups,فئات السن,Highest Educational Level, أعلى مؤهل علمي ,Nationality,الجنسية,Sex,الجنس,Population
30 - 34,30 - 34,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Male,ذكر,189
60 - 64,60 - 64,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Male,ذكر,373
50 - 54,50 - 54,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Male,ذكر,756
55 - 59,55 - 59,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Male,ذكر,1002
15 - 19,15 - 19,Primary,ابتدائي,Bahraini,بحريني,Male,ذكر,3441
20 - 24,20 - 24,Primary,ابتدائي,Bahraini,بحريني,Male,ذكر,1829
45 - 49,45 - 49,Primary,ابتدائي,Bahraini,بحريني,Male,ذكر,988
20 - 24,20 - 24,Preparatory,إعدادي,Bahraini,بحريني,Male,ذكر,3123
50 - 54,50 - 54,Preparatory,إعدادي,Bahraini,بحريني,Male,ذكر,1821
20 - 24,20 - 24,Secondary,ثانوي,Bahraini,بحريني,Male,ذكر,12696
35 - 39,35 - 39,Secondary,ثانوي,Bahraini,بحريني,Male,ذكر,9589
50 - 54,50 - 54,Secondary,ثانوي,Bahraini,بحريني,Male,ذكر,7594
20 - 24,20 - 24,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Male,ذكر,2263
25 - 29,25 - 29,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Male,ذكر,2549
40 - 44,40 - 44,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Male,ذكر,1853
45 - 49,45 - 49,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Male,ذكر,1193
50 - 54,50 - 54,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Male,ذكر,1021
60 - 64,60 - 64,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Male,ذكر,453
65 Years & Above,65 سنة فأكثر,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Male,ذكر,286
45 - 49,45 - 49,Bachelor,بكالوريوس,Bahraini,بحريني,Male,ذكر,2386
55 - 59,55 - 59,Bachelor,بكالوريوس,Bahraini,بحريني,Male,ذكر,1941
