Year,Nationality,الجنسية,Sex,الجنس,Population
1992-06,Bahraini,بحريني,Male,ذكر,165932
2001-06,Bahraini,بحريني,Male,ذكر,206909
2003-06,Bahraini,بحريني,Male,ذكر,225099
2004-06,Bahraini,بحريني,Male,ذكر,234786
2006-06,Bahraini,بحريني,Male,ذكر,255428
2008-06,Bahraini,بحريني,Male,ذكر,273612
2013-06,Bahraini,بحريني,Male,ذكر,312945
2015-06,Bahraini,بحريني,Male,ذكر,328887
2018-06,Bahraini,بحريني,Male,ذكر,349661
2019-06,Bahraini,بحريني,Male,ذكر,355633
1991-06,Bahraini,بحريني,Female,انثى,158430
1992-06,Bahraini,بحريني,Female,انثى,162294
1993-06,Bahraini,بحريني,Female,انثى,166278
1996-06,Bahraini,بحريني,Female,انثى,178882
2011-06,Bahraini,بحريني,Female,انثى,288810
2018-06,Bahraini,بحريني,Female,انثى,340053
2000-06,Non-Bahraini,غير بحريني,Male,ذكر,165344
2006-06,Non-Bahraini,غير بحريني,Male,ذكر,324856
2007-06,Non-Bahraini,غير بحريني,Male,ذكر,365654
2010-06,Non-Bahraini,غير بحريني,Male,ذكر,475905
2012-06,Non-Bahraini,غير بحريني,Male,ذكر,455095
2016-06,Non-Bahraini,غير بحريني,Male,ذكر,551555
1998-06,Non-Bahraini,غير بحريني,Female,انثى,68884
1994-06,Bahraini,بحريني,Male,ذكر,174108
1995-06,Bahraini,بحريني,Male,ذكر,178328
1999-06,Bahraini,بحريني,Male,ذكر,196190
2003-06,Bahraini,بحريني,Female,انثى,220531
2005-06,Bahraini,بحريني,Female,انثى,239920
2007-06,Bahraini,بحريني,Female,انثى,261013
2013-06,Bahraini,بحريني,Female,انثى,301885
2015-06,Bahraini,بحريني,Female,انثى,318948
2020-06,Bahraini,بحريني,Female,انثى,351284
1991-06,Non-Bahraini,غير بحريني,Male,ذكر,128862
1992-06,Non-Bahraini,غير بحريني,Male,ذكر,132967
2005-06,Non-Bahraini,غير بحريني,Male,ذكر,288610
1992-06,Non-Bahraini,غير بحريني,Female,انثى,55265
1993-06,Non-Bahraini,غير بحريني,Female,انثى,57359
1999-06,Non-Bahraini,غير بحريني,Female,انثى,71409
2015-06,Non-Bahraini,غير بحريني,Female,انثى,205009
2021-06,Bahraini,بحريني,Male,ذكر,365083
1997-06,Bahraini,بحريني,Male,ذكر,187065
2002-06,Bahraini,بحريني,Male,ذكر,215813
1998-06,Bahraini,بحريني,Female,انثى,187858
1999-06,Bahraini,بحريني,Female,انثى,192524
2000-06,Bahraini,بحريني,Female,انثى,197318
2016-06,Bahraini,بحريني,Female,انثى,327873
2002-06,Non-Bahraini,غير بحريني,Female,انثى,80924
2008-06,Non-Bahraini,غير بحريني,Female,انثى,158931
2014-06,Non-Bahraini,غير بحريني,Female,انثى,198170
2017-06,Non-Bahraini,غير بحريني,Female,انثى,215638
2019-06,Non-Bahraini,غير بحريني,Female,انثى,216998
2022-06,Bahraini,بحريني,Female,انثى,352424
2022-06,Non-Bahraini,غير بحريني,Male,ذكر,585450
2022-06,Non-Bahraini,غير بحريني,Female,انثى,225232
2023-06,Bahraini,بحريني,Male,ذكر,368448
2023-06,Bahraini,بحريني,Female,انثى,358904
2022-12,Non-Bahraini,غير بحريني,Female,انثى,231920
2021-06,Non-Bahraini,غير بحريني,Female,انثى,223960
2007-06,Bahraini,بحريني,Male,ذكر,266419
1995-06,Bahraini,بحريني,Female,انثى,174572
2012-06,Bahraini,بحريني,Female,انثى,294275
2018-06,Non-Bahraini,غير بحريني,Male,ذكر,597203
1991-06,Non-Bahraini,غير بحريني,Female,انثى,53801
1996-06,Non-Bahraini,غير بحريني,Female,انثى,64055
2013-06,Non-Bahraini,غير بحريني,Female,انثى,162925
2016-06,Non-Bahraini,غير بحريني,Female,انثى,207464
1996-06,Bahraini,بحريني,Male,ذكر,182648
2009-06,Bahraini,بحريني,Female,انثى,276000
2010-06,Bahraini,بحريني,Female,انثى,282235
2019-06,Bahraini,بحريني,Female,انثى,346194
2009-06,Non-Bahraini,غير بحريني,Male,ذكر,449986
2013-06,Non-Bahraini,غير بحريني,Male,ذكر,475436
2014-06,Non-Bahraini,غير بحريني,Male,ذكر,485648
2004-06,Non-Bahraini,غير بحريني,Female,انثى,102526
2005-06,Non-Bahraini,غير بحريني,Female,انثى,115402
2009-06,Non-Bahraini,غير بحريني,Female,انثى,170418
2008-06,Bahraini,بحريني,Female,انثى,267975
1993-06,Non-Bahraini,غير بحريني,Male,ذكر,136615
1999-06,Non-Bahraini,غير بحريني,Male,ذكر,160866
1995-06,Non-Bahraini,غير بحريني,Female,انثى,61752
2006-06,Non-Bahraini,غير بحريني,Female,انثى,129896
2012-06,Non-Bahraini,غير بحريني,Female,انثى,154240
2022-12,Bahraini,بحريني,Female,انثى,356156
2022-12,Non-Bahraini,غير بحريني,Male,ذكر,603605
2021-06,Non-Bahraini,غير بحريني,Male,ذكر,560664
1993-06,Bahraini,بحريني,Male,ذكر,169973
1998-06,Bahraini,بحريني,Male,ذكر,191577
2010-06,Bahraini,بحريني,Male,ذكر,288452
2014-06,Bahraini,بحريني,Male,ذكر,320839
1994-06,Bahraini,بحريني,Female,انثى,170371
2017-06,Bahraini,بحريني,Female,انثى,334166
1994-06,Non-Bahraini,غير بحريني,Male,ذكر,140366
1996-06,Non-Bahraini,غير بحريني,Male,ذكر,148207
1998-06,Non-Bahraini,غير بحريني,Male,ذكر,156523
2011-06,Non-Bahraini,غير بحريني,Male,ذكر,445605
1994-06,Non-Bahraini,غير بحريني,Female,انثى,59521
2020-06,Non-Bahraini,غير بحريني,Female,انثى,195884
1991-06,Bahraini,بحريني,Male,ذكر,161959
2009-06,Bahraini,بحريني,Male,ذكر,282011
2016-06,Bahraini,بحريني,Male,ذكر,336834
2017-06,Bahraini,بحريني,Male,ذكر,343340
2020-06,Bahraini,بحريني,Male,ذكر,361979
1997-06,Bahraini,بحريني,Female,انثى,183312
2004-06,Bahraini,بحريني,Female,انثى,230021
2006-06,Bahraini,بحريني,Female,انثى,250244
2001-06,Non-Bahraini,غير بحريني,Male,ذكر,179802
2002-06,Non-Bahraini,غير بحريني,Male,ذكر,202383
2015-06,Non-Bahraini,غير بحريني,Male,ذكر,517478
2019-06,Non-Bahraini,غير بحريني,Male,ذكر,564931
2020-06,Non-Bahraini,غير بحريني,Male,ذكر,563057
1997-06,Non-Bahraini,غير بحريني,Female,انثى,66431
2003-06,Non-Bahraini,غير بحريني,Female,انثى,91087
2011-06,Non-Bahraini,غير بحريني,Female,انثى,164727
2021-06,Bahraini,بحريني,Female,انثى,354658
2000-06,Bahraini,بحريني,Male,ذكر,200903
2005-06,Bahraini,بحريني,Male,ذكر,244890
2011-06,Bahraini,بحريني,Male,ذكر,295878
2012-06,Bahraini,بحريني,Male,ذكر,305354
2001-06,Bahraini,بحريني,Female,انثى,202710
2002-06,Bahraini,بحريني,Female,انثى,211433
2014-06,Bahraini,بحريني,Female,انثى,309905
1995-06,Non-Bahraini,غير بحريني,Male,ذكر,144227
1997-06,Non-Bahraini,غير بحريني,Male,ذكر,152307
2003-06,Non-Bahraini,غير بحريني,Male,ذكر,227800
2004-06,Non-Bahraini,غير بحريني,Male,ذكر,256408
2008-06,Non-Bahraini,غير بحريني,Male,ذكر,402978
2017-06,Non-Bahraini,غير بحريني,Male,ذكر,607972
2000-06,Non-Bahraini,غير بحريني,Female,انثى,74017
2001-06,Non-Bahraini,غير بحريني,Female,انثى,71895
2007-06,Non-Bahraini,غير بحريني,Female,انثى,146209
2010-06,Non-Bahraini,غير بحريني,Female,انثى,181951
2018-06,Non-Bahraini,غير بحريني,Female,انثى,216174
2022-06,Bahraini,بحريني,Male,ذكر,361587
2022-12,Bahraini,بحريني,Male,ذكر,365501
2023-06,Non-Bahraini,غير بحريني,Female,انثى,238280
2023-06,Non-Bahraini,غير بحريني,Male,ذكر,611427
